epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,149.879,0.68645,0.76173,1.07893,1.00922,0,0.46124,1,0.4975,0.27092,0.46124,1,0.4975,0.30408,0.93064,0.16484,4.4514,1.05383,0,0.0012278,0.0012278,0.0012278
41,153.423,0.88334,0.66093,1.21106,1.10209,0,0.46124,1,0.4975,0.27092,0.46124,1,0.4975,0.30408,0.93064,0.16484,4.4514,1.05383,0,0.001208,0.001208,0.001208
42,156.95,0.72257,0.76818,1.1308,1.0522,0,0.46124,1,0.4975,0.27092,0.46124,1,0.4975,0.30408,0.93064,0.16484,4.4514,1.05383,0,0.0011882,0.0011882,0.0011882
43,160.362,0.76404,0.57473,1.68451,1.11027,0,0.46124,1,0.4975,0.27092,0.46124,1,0.4975,0.30408,0.93064,0.16484,4.4514,1.05383,0,0.0011684,0.0011684,0.0011684
44,163.88,1.19657,1.12875,1.52283,1.1911,0,0.46124,1,0.4975,0.27092,0.46124,1,0.4975,0.30408,0.93064,0.16484,4.4514,1.05383,0,0.0011486,0.0011486,0.0011486
45,167.583,0.63191,0.55292,1.29279,0.95454,0,0.70797,1,0.83,0.55638,0.70797,1,0.83,0.67238,0.70505,0.25149,3.43517,1.18997,0,0.0011288,0.0011288,0.0011288
46,171.475,0.65847,0.74285,1.1086,1.03744,0,0.70797,1,0.83,0.55638,0.70797,1,0.83,0.67238,0.70505,0.25149,3.43517,1.18997,0,0.001109,0.001109,0.001109
47,175.116,0.60327,0.50871,0.9431,0.97008,0,0.70797,1,0.83,0.55638,0.70797,1,0.83,0.67238,0.70505,0.25149,3.43517,1.18997,0,0.0010892,0.0010892,0.0010892
48,178.56,0.81014,0.62562,1.28598,0.98206,0,0.70797,1,0.83,0.55638,0.70797,1,0.83,0.67238,0.70505,0.25149,3.43517,1.18997,0,0.0010694,0.0010694,0.0010694
49,182.033,0.73478,0.83591,1.2695,1.09542,0,0.70797,1,0.83,0.55638,0.70797,1,0.83,0.67238,0.70505,0.25149,3.43517,1.18997,0,0.0010496,0.0010496,0.0010496
50,185.609,0.91181,0.75854,1.17826,1.08214,0,1,0.99861,0.995,0.68567,1,0.99861,0.995,0.84033,0.77971,0.4055,1.9806,1.1951,0,0.0010298,0.0010298,0.0010298
